category,start,end,time,what,where
Alumni,09:00,13:00,9AM - 1PM,School Museum,Museum
Alumni,09:00,13:00,9AM - 1PM,School Tours,Museum
Alumni,13:00,13:30,1PM - 1:30PM,Alumni Meetup,Upper Quad
Alumni,16:00,18:00,4PM - 6PM,Mini Reunion After Party,Upper Quad
Dance,12:50,12:55,12:50pm,SH Crew,ISC Court 1
Dance,15:05,15:10,3PM,Bollywood,Oval
Dance,16:00,16:15,4PM,Flash Mob,Oval
Food,09:00,16:00,9AM - 4PM,Aussie BBQ,Upper Quad
Food,09:00,14:00,9AM - 2PM,Bake Sale - Athletics,Food Bazaar
Food,09:00,13:00,9AM - 1PM,Bubble Tea - Music,Marketplace
Food,09:00,14:00,9AM - 2PM,Chinese,Apron Cafe
Food,09:00,13:00,9AM - 1PM,Drinks - Cricket,Marketplace
Food,09:00,13:00,9AM - 1PM,Fairy Floss - SRC,Upper Quad
Food,09:00,14:00,9AM - 2PM,German BBQ,Marketplace
Food,09:00,13:00,9AM - 1PM,Ice Cones - Dance,Marketplace
Food,09:00,14:00,9AM - 2PM,Italian,Food Bazaar
Food,09:00,14:00,9AM - 2PM,Japanese,Food Bazaar
Food,09:00,13:00,9AM - 1PM,Lob A Choc - Football,Marketplace
Food,09:00,14:00,9AM - 2PM,Spanish,Food Bazaar
Music,09:00,10:00,9AM - 10AM,SH's Got Talent,Main Stage
Music,09:00,11:00,9AM - 11AM,SH's Got Talent,Quad Stage
Music,10:00,11:00,10AM - 11AM,Ensembles,Main Stage
Music,11:00,12:00,11AM - NOON,Choirs,Main Stage
Music,12:00,13:00,NOON - 1PM,SH's Got Talent,Quad Stage
Music,12:00,14:00,NOON - 2PM,SH's Got Talent,Main Stage
Music,14:30,16:00,2:30PM - 4PM,Rock School,Main Stage
Past Musicals,09:00,11:00,9AM - 11AM,1983 Godspell,Cinema 1
Past Musicals,09:00,11:30,9AM - 11:30AM,"1994 Shake, Rattle & Roll",Cinema 2
Past Musicals,11:00,13:00,11AM - 1PM,1982 Man of Steel,Cinema 1
Past Musicals,11:30,14:00,11:30AM - 2PM,2015 Wizard of Oz,Cinema 2
Sport,07:00,12:00,7AM - NOON,Basketball Fixtures,ISC Court 1
Sport,08:15,11:00,8:15AM - 11AM,Netball Fixtures,ISC Court 2
Sport,08:30,14:00,8:30AM - 2PM,Rugby Fixtures,Oval
Sport,09:00,13:00,9AM - 1PM,Basketball Hoops,Apron
Sport,09:00,13:00,9AM - 1PM,Chess in the Park,Upper Quad
Sport,09:00,13:00,9AM - 1PM,Fencing Piste,Apron
Sport,09:00,13:00,9AM - 1PM,Rowing Ergos,Apron
Sport,11:00,12:00,11AM - NOON,Basketball Fixtures,ISC Court 2
Sport,11:00,12:00,11AM - NOON,Senior A vs Alumni Debate,Quad Stage
Sport,12:15,13:00,12:15PM - 1PM,Basketball First V,ISC Court 1
Sport,13:00,15:00,1PM - 3PM,Basketball Fixtures,ISC Courts 1 & 2
Sport,14:15,14:30,2:15PM - 2:30PM,Official Opening,Oval
Sport,14:30,15:45,2:30PM - 3:45PM,Rugby First XV,Oval
Stalls,09:00,13:00,9AM - 1PM,Arcade Games - House Leaders,Marketplace
Stalls,09:00,13:00,9AM - 1PM,Art - Amnesty,Upper Quad
Stalls,09:00,13:00,9AM - 1PM,Art - Mara's Cafe,Upper Quad
Stalls,09:00,13:00,9AM - 1PM,Banner - Visual Art,Upper Quad
Stalls,09:00,13:00,9AM - 1PM,Gryphon's Den - Prefects,Upper Quad
Stalls,09:00,14:00,9AM - 2PM,HQ,Marketplace
Stalls,09:00,13:00,9AM - 1PM,Maker's Market,Marketplace
Stalls,09:00,13:00,9AM - 1PM,Second Hand Books,Marketplace
Stalls,09:00,13:00,9AM - 1PM,Second Hand Clothes - Greenscape,Marketplace
Stalls,09:00,14:00,9AM - 2PM,Supporters,Marketplace
